time	ref	y	y_dot	p1	p2	z	u
0.060000	0.578157	0.030212	0.578792	7679160.248607	5320834.503653	0.173511	0.173209
0.061000	0.578157	0.030791	0.578759	7662607.253213	5324065.544873	0.173448	0.173163
0.062000	0.578157	0.031370	0.578729	7646822.477178	5327142.840864	0.173388	0.173119
0.063000	0.578157	0.031948	0.578701	7631781.806735	5330069.808391	0.173332	0.173077
0.064000	0.578157	0.032527	0.578675	7617456.496844	5332854.124539	0.173279	0.173037
0.065000	0.578157	0.033106	0.578651	7603818.336558	5335501.685485	0.173228	0.172999
0.066000	0.578157	0.033684	0.578628	7590840.502065	5338017.046388	0.173180	0.172963
0.067000	0.578157	0.034263	0.578607	7578496.648436	5340407.127445	0.173134	0.172928
0.068000	0.578157	0.034842	0.578586	7566761.976219	5342675.888222	0.173091	0.172896
0.069000	0.578157	0.035420	0.578567	7555613.032201	5344827.866641	0.173050	0.172864
0.070000	0.578157	0.035999	0.578548	7545027.465549	5346867.538196	0.173011	0.172835
0.071000	0.578157	0.036577	0.578529	7534983.887311	5348799.138539	0.172974	0.172807
0.072000	0.578157	0.037156	0.578512	7525461.742885	5350626.792740	0.172939	0.172781
0.073000	0.578157	0.037734	0.578495	7516441.249823	5352354.474411	0.172906	0.172756
0.074000	0.578157	0.038313	0.578479	7507903.174677	5353986.769958	0.172874	0.172732
0.075000	0.578157	0.038891	0.578463	7499829.198624	5355525.921058	0.172845	0.172710
0.076000	0.578157	0.039470	0.578447	7492202.243010	5356975.849698	0.172816	0.172689
0.077000	0.578157	0.040048	0.578433	7485005.669971	5358339.924851	0.172790	0.172669
0.078000	0.578157	0.040627	0.578418	7478223.604115	5359621.250883	0.172765	0.172651
0.079000	0.578157	0.041205	0.578404	7471841.055509	5360822.675433	0.172741	0.172634
0.080000	0.578157	0.041783	0.578391	7465843.838499	5361947.016302	0.172719	0.172618
0.081000	0.578157	0.042362	0.578378	7460218.318689	5362997.050759	0.172698	0.172603
0.082000	0.578157	0.042940	0.578365	7454951.141363	5363975.518552	0.172678	0.172589
0.083000	0.578157	0.043518	0.578353	7450029.478948	5364884.941351	0.172660	0.172577
0.084000	0.578157	0.044097	0.578341	7445441.088437	5365727.699300	0.172643	0.172565
0.085000	0.578157	0.044675	0.578330	7441174.459667	5366505.934923	0.172627	0.172554
0.086000	0.578157	0.045253	0.578319	7437219.128652	5367221.377199	0.172612	0.172545
0.087000	0.578157	0.045832	0.578308	7433565.038472	5367876.321203	0.172598	0.172536
0.088000	0.578157	0.046410	0.578298	7430202.531775	5368472.572729	0.172585	0.172528
0.089000	0.578157	0.046988	0.578288	7427122.345148	5369011.975517	0.172574	0.172521
0.090000	0.578157	0.047567	0.578278	7424315.585199	5369496.291706	0.172563	0.172515
0.091000	0.578157	0.048145	0.578269	7421773.399613	5369927.445626	0.172553	0.172509
0.092000	0.578157	0.048723	0.578260	7419487.927015	5370306.436330	0.172545	0.172505
0.093000	0.578157	0.049301	0.578251	7417451.614034	5370635.247251	0.172537	0.172501
0.094000	0.578157	0.049880	0.578242	7415657.004833	5370915.251843	0.172530	0.172498
0.095000	0.578157	0.050458	0.578234	7414096.560400	5371147.939797	0.172524	0.172496
0.096000	0.578157	0.051036	0.578226	7412764.164299	5371334.421919	0.172518	0.172494
0.097000	0.578157	0.051614	0.578218	7411653.388080	5371476.423156	0.172514	0.172493
0.098000	0.578157	0.052193	0.578211	7410762.747774	5371574.438685	0.172510	0.172493
0.099000	0.578157	0.052771	0.578204	7410070.603135	5371632.217183	0.172507	0.172493
0.100000	0.578157	0.053349	0.578197	7409577.349141	5371648.291114	0.172505	0.172494
0.101000	0.578157	0.053927	0.578190	7409282.357483	5371622.957687	0.172503	0.172496
