time	ref	y	y_dot	p1	p2	z	u
0.050000	0.578157	0.028639	0.577732	7476299.360222	5403609.050786	0.172063	0.173232
0.051000	0.578157	0.028910	0.573985	7538549.503582	5341727.717580	0.172192	0.173717
0.052000	0.578157	0.030443	0.574325	7785758.728547	5151470.685596	0.175558	0.174543
0.053000	0.578157	0.031077	0.578284	7920891.303212	5287663.594818	0.173192	0.175798
0.054000	0.578157	0.031801	0.582728	7744878.092100	5357695.063494	0.173985	0.174047
0.055000	0.578157	0.032222	0.582237	7465870.239571	5483090.586805	0.171489	0.173702
0.056000	0.578157	0.033311	0.580814	7398025.802835	5363891.332872	0.173945	0.172800
0.057000	0.578157	0.033360	0.576750	7375405.161349	5369671.320299	0.172067	0.173931
0.058000	0.578157	0.034536	0.574604	7315872.394280	5467898.274533	0.169446	0.173921
0.059000	0.578157	0.034947	0.570027	7248040.403074	5427900.840896	0.169401	0.173334
0.060000	0.578157	0.035924	0.566331	7377059.901549	5295632.049543	0.170900	0.174264
0.061000	0.578157	0.036463	0.566385	7476978.738439	5290763.109381	0.170132	0.175620
0.062000	0.578157	0.036554	0.563167	7689788.369862	5191732.157512	0.171620	0.175306
0.063000	0.578157	0.036020	0.564825	7785534.808986	5276372.322384	0.169637	0.176558
0.064000	0.578157	0.036856	0.569082	7760968.753816	5347727.408843	0.170059	0.175434
0.065000	0.578157	0.037298	0.570859	7775538.106039	5272061.614498	0.172222	0.174719
0.066000	0.578157	0.037188	0.573720	7721727.484307	5338445.894439	0.171414	0.175202
0.067000	0.578157	0.037207	0.577582	7412875.637787	5524497.776346	0.169503	0.174292
0.068000	0.578157	0.037473	0.575645	7335115.209647	5372479.601327	0.172244	0.172739
0.069000	0.578157	0.038375	0.576958	7466651.846526	5301092.351778	0.173406	0.174220
0.070000	0.578157	0.039271	0.575491	7507043.857288	5312497.204249	0.172602	0.174406
0.071000	0.578157	0.040007	0.575719	7436802.170366	5406579.421695	0.170996	0.174393
0.072000	0.578157	0.040691	0.576529	7362611.331421	5363679.316812	0.172635	0.173713
0.073000	0.578157	0.041534	0.578803	7395652.116647	5317561.821109	0.173516	0.174191
0.074000	0.578157	0.042246	0.580862	7519891.168999	5286678.745427	0.174769	0.174067
0.075000	0.578157	0.042795	0.582140	7634721.060412	5287750.481354	0.174850	0.174243
0.076000	0.578157	0.043459	0.581308	7686432.850290	5201574.451795	0.176299	0.174111
0.077000	0.578157	0.043294	0.583078	7716778.607117	5284551.417462	0.175201	0.174777
0.078000	0.578157	0.044128	0.587842	7664684.461603	5406349.212297	0.174707	0.174127
0.079000	0.578157	0.045486	0.586890	7467397.795747	5440117.699459	0.173921	0.173327
0.080000	0.578157	0.045950	0.585867	7314130.811757	5398390.156042	0.174143	0.173145
0.081000	0.578157	0.046693	0.585564	7162322.212850	5529203.781238	0.171966	0.173362
0.082000	0.578157	0.047713	0.579796	7077711.331398	5429061.443833	0.172407	0.172559
0.083000	0.578157	0.048525	0.576843	7341099.907622	5256879.833988	0.174387	0.173467
0.084000	0.578157	0.049652	0.579777	7593016.992330	5246585.655622	0.175200	0.174816
0.085000	0.578157	0.049931	0.584474	7828651.801910	5201842.195331	0.177235	0.174548
0.086000	0.578157	0.050031	0.586423	7868465.172614	5280249.308211	0.176428	0.174734
0.087000	0.578157	0.051027	0.591200	7811332.805298	5338121.045941	0.176706	0.174173
0.088000	0.578157	0.051794	0.595239	7558711.207194	5501497.023314	0.174827	0.173670
0.089000	0.578157	0.052723	0.594414	7142956.168945	5627403.915485	0.172996	0.172428
0.090000	0.578157	0.053883	0.590527	6986304.975975	5524960.206312	0.174280	0.171826
0.091000	0.578157	0.054323	0.587159	6924001.384440	5481507.557198	0.173473	0.172819
0.092000	0.578157	0.054707	0.584880	7009419.426440	5382852.914922	0.174638	0.172938
0.093000	0.578157	0.054732	0.582379	7190681.316734	5364087.727169	0.173943	0.173679
0.094000	0.578157	0.055461	0.580107	7399818.962971	5283334.687232	0.174685	0.173730
0.095000	0.578157	0.055472	0.581585	7377542.260820	5463334.788077	0.171568	0.174307
0.096000	0.578157	0.056485	0.580814	7073878.073464	5611077.085470	0.169243	0.172914
0.097000	0.578157	0.057783	0.574504	6814753.395100	5560034.986734	0.168592	0.172114
0.098000	0.578157	0.058633	0.571784	6998301.198528	5301609.761380	0.172451	0.173018
0.099000	0.578157	0.059832	0.572871	7274686.867569	5299244.827576	0.172143	0.175101
0.100000	0.578157	0.061041	0.572759	7405280.924502	5286740.089941	0.172005	0.174755
0.101000	0.578157	0.061583	0.573810	7533357.396176	5323923.432562	0.171655	0.174723
0.102000	0.578157	0.061958	0.573819	7467119.105738	5393568.697924	0.170593	0.174368
0.103000	0.578157	0.062454	0.572925	7491809.921036	5366534.872186	0.171125	0.173948
0.104000	0.578157	0.063569	0.575510	7596535.033126	5275182.154962	0.173553	0.174343
0.105000	0.578157	0.064841	0.576897	7799447.535803	5208295.514467	0.174777	0.174764
0.106000	0.578157	0.065546	0.580248	7727290.437378	5366032.859861	0.172767	0.174958
0.107000	0.578157	0.067623	0.584468	7586606.515627	5396555.771281	0.174069	0.173548
0.108000	0.578157	0.068386	0.587236	7495256.507607	5346734.414322	0.175643	0.173512
0.109000	0.578157	0.068192	0.588519	7531258.076618	5345479.887302	0.176046	0.173766
0.110000	0.578157	0.068164	0.586942	7511589.802409	5415094.213422	0.174362	0.173758
0.111000	0.578157	0.068245	0.587635	7259259.863212	5580158.158446	0.171467	0.173309
0.112000	0.578157	0.068613	0.584021	7199782.768860	5328015.155379	0.175652	0.172102
0.113000	0.578157	0.068651	0.582237	7340441.034911	5351961.329971	0.173992	0.174180
0.114000	0.578157	0.069286	0.581309	7424140.911450	5309440.027938	0.174846	0.173767
0.115000	0.578157	0.070254	0.581841	7736041.886465	5132752.802229	0.177954	0.174216
0.116000	0.578157	0.071714	0.583216	8017194.534962	5155495.404481	0.177422	0.175348
0.117000	0.578157	0.072207	0.588650	7946227.966142	5353322.267458	0.175354	0.174967
0.118000	0.578157	0.073008	0.592541	7616574.887355	5487502.819675	0.174584	0.173474
0.119000	0.578157	0.074626	0.590909	7371474.955666	5505080.545368	0.174118	0.172679
0.120000	0.578157	0.074661	0.589433	7218681.803919	5502704.319651	0.173966	0.172707
0.121000	0.578157	0.074237	0.586832	7188977.976754	5392042.432326	0.174952	0.172837
0.122000	0.578157	0.074960	0.585844	7324636.899219	5291528.769755	0.176250	0.173551
0.123000	0.578157	0.075238	0.582913	7498710.792797	5288445.178968	0.175042	0.174179
0.124000	0.578157	0.076359	0.583532	7649826.329516	5277378.557304	0.175937	0.174087
0.125000	0.578157	0.076511	0.586790	7727421.183844	5297839.849004	0.176249	0.174353
0.126000	0.578157	0.076516	0.589732	7531054.216973	5493188.050332	0.173475	0.174057
0.127000	0.578157	0.076549	0.584828	7281988.668108	5503159.524125	0.172353	0.172610
0.128000	0.578157	0.077531	0.582579	7202703.995172	5439991.767529	0.172952	0.172803
0.129000	0.578157	0.078945	0.578452	7314553.227261	5300104.698531	0.174090	0.173322
0.130000	0.578157	0.079461	0.577941	7633535.472402	5214048.895485	0.175293	0.174366
0.131000	0.578157	0.079591	0.578101	7686370.984602	5313069.361258	0.173091	0.174945
0.132000	0.578157	0.080361	0.579772	7730367.248930	5225163.781922	0.175536	0.174045
0.133000	0.578157	0.080624	0.582864	7697087.522906	5384336.034081	0.173330	0.174679
0.134000	0.578157	0.080734	0.585211	7534775.161486	5407776.004059	0.174167	0.173431
0.135000	0.578157	0.080766	0.582441	7323892.014242	5536624.030133	0.170814	0.173455
0.136000	0.578157	0.080872	0.578686	7385661.193906	5329532.095893	0.174038	0.172513
0.137000	0.578157	0.081026	0.577719	7532977.563280	5262981.837629	0.174174	0.174297
0.138000	0.578157	0.081036	0.576558	7606020.669380	5355579.849148	0.171880	0.174550
